hasDate,type,Long,Lat,locationName,CurrencyName,geonameID
GREGORIAN:1682-08-30,transportation,9.421944444,53.791666666,Glückstadt,Schilling,2919763
GREGORIAN:1682-09-07,transportation,9.701111111,53.476944444,Buxtehude,Schilling,2940451
GREGORIAN:1682-09-08,transportation,9.05833,53.1167,Fischerhude,Marck,2926522
GREGORIAN:1682-09-09,transportation,8.808888888,53.076944444,Bremen,Groot,2944388
GREGORIAN:1682-09-09,transportation,8.808888888,53.076944444,Bremen,Reichsthaler,2944388
GREGORIAN:1682-09-09,transportation,8.808888888,53.076944444,Bremen,Schilling,2944388
GREGORIAN:1682-09-14,transportation,8.916666666,52.288333333,Minden,Thaler,2871039
GREGORIAN:1682-09-14:1682-09-17,transportation,9.448333333,51.829722222,Holzminden,Groschen,2899601
GREGORIAN:1682-09-14:1682-09-17,transportation,9.448333333,51.829722222,Holzminden,Marck,2899601
GREGORIAN:1682-09-17,transportation,8.916666666,52.288333333,Minden,Groot,2871039
GREGORIAN:1682-09-17:1682-09-18,transportation,9.417777777,51.642222222,Herstelle,Thaler,290557
GREGORIAN:1682-09-18:1682-09-19,transportation,9.497916666,51.315777777,Kassel,Groschen,2892518
GREGORIAN:1682-09-27,transportation,9.266666666,51.133333333,Fritzlar,Albus,2924326
GREGORIAN:1682-10-02,transportation,8.709027777,50.574930555,Giessen,Thaler,2920512
GREGORIAN:1682-10-04:1682-10-05,transportation,8.682222222,50.110555555,Frankfurt am Main,Reichsthaler,2925533
GREGORIAN:1682-10-13,transportation,8.71,49.412222222,Heidelberg,Thaler,2907911
GREGORIAN:1683-09-06,transportation,9.133811111,47.6643,Gottlieben,Batzen,7285948
GREGORIAN:1683-09-07,transportation,9.35639,47.56354,Romanshorn,Rappen,2658985
GREGORIAN:1683-09-17,transportation,8.541111111,47.374444444,Zürich,Batzen,2657896
GREGORIAN:1683-09-25,transportation,8.623611111,46.899722222,Flüelen,Batzen,2660751
GREGORIAN:1683-09-27,transportation,8.42068,46.97463,Buochs,Batzen,2661328
GREGORIAN:1683-09-28,transportation,8.3059,47.0523,Luzern,Batzen,2659811
GREGORIAN:1683-10-01,transportation,8.094444444,47.113611111,Buttisholz,Batzen,26613
GREGORIAN:1678-05-08,unclear,6.15,46.2,Genf,Schweizer Batzen,2660646
GREGORIAN:1678-05-08,unclear,6.15,46.2,Genf,Sol,2660646
GREGORIAN:1681-05-25:1681-09-05,unclear,4.893611111,52.372777777,Amsterdam,Stüver,2759794
GREGORIAN:1682-08-04:1682-08-06,unclear,0.368611111,51.441666666,Gravesend,Schilling,2648187
GREGORIAN:1681-05-13,verdingt,5.85278,51.8425,Nijmegen,Reichsthaler,2750053
GREGORIAN:1681-05-08,verdingt,6.957777777,50.942222222,Köln,Reichsthaler,2886242
